Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
75455,-0.832757292,0.723793306,1.556897839,-1.304188766,0.564000101,-0.313753015,0.928102533,0.033233377,-0.76574543,-0.977216149,1.374477651,1.288252825,0.650090839,0.036049172,-1.065486198,-0.281061964,-0.215126868,-0.752459268,-0.326180612,-0.025467676,0.059829787,0.232433443,-0.378386278,0.128008901,0.503589223,1.027026775,-0.068377903,0.022132817,10.3,0
66232,-0.717556217,-1.219500012,1.501382876,-0.74081659,-0.45439752,0.74111159,-0.057707943,0.123678014,-1.180032991,0.71705719,0.436277015,-0.640672956,-0.452981336,0.006666053,1.247752179,-1.314843081,-0.150714667,2.103158195,0.343240801,0.298578435,-0.007956532,0.145085239,0.387025554,-0.812067595,-0.641004742,1.212389706,-0.12694409,-0.07915681,201.49,0
156955,1.805328159,-0.70882962,-0.705566639,0.027613804,0.32671118,1.903073863,-0.968762524,0.611733252,0.915924413,0.01252315,1.075397907,1.336464121,0.486584265,-0.063430086,0.462452842,-0.341355217,-0.021277808,-0.821999679,-0.970362428,-0.166400247,0.320173186,1.160285718,0.170005659,-0.652197331,-0.405121802,0.679821891,0.019443449,-0.062527628,33.7,0
132200,-3.057478223,2.029012522,1.196005245,0.029302779,-1.672140014,1.128296926,-1.32788544,1.338159208,0.728822823,2.129633575,-1.899251243,0.462190038,0.930547733,-1.207271904,-0.736322026,-2.116368308,0.645276041,1.431733722,-0.013277792,0.409617751,-0.651586762,-0.413482215,-0.166706841,0.550063989,0.712908941,-0.466655425,-0.224382991,-0.615660013,5,0
160068,0.865081634,-2.701076022,-0.95310899,0.386521784,-2.013224067,-1.179471721,0.243806668,-0.482395997,-0.393066592,0.538629812,-0.142843238,0.716938202,0.987596538,-0.051616106,0.107217975,-1.560524201,0.154655499,0.709211227,-1.383962314,0.686772747,0.067067938,-0.572623208,-0.13728966,0.97799192,-0.725944942,0.413473345,-0.142702199,0.069105975,635.8,0
73440,1.228997815,-0.02690211,-1.156356522,-0.040619384,2.120641382,3.37804429,-0.429845509,0.803208214,-0.083465466,0.042372515,-0.136731956,0.059591885,0.018223377,0.475126667,1.210999098,0.503114938,-0.975593169,0.282485922,-0.009990855,0.048403818,-0.08839385,-0.447643141,-0.082531729,0.986917664,0.690887632,-0.426686666,0.019082238,0.024233356,35,0
38290,1.258509048,0.119475613,0.476111114,0.63900048,-0.641944778,-1.036543916,-0.059789765,-0.103593595,0.317235498,-0.01297979,-0.521341039,-0.58673511,-1.483563367,0.597340082,1.229093166,0.386790437,-0.319745421,-0.322089521,-0.107339588,-0.208154775,-0.277918452,-0.891558728,0.158060408,0.331058899,0.156360643,0.100524392,-0.040847321,0.015202456,1.98,0
68139,-1.213259077,0.285188205,2.728208353,-0.044221453,0.245000172,0.832518022,0.173261211,0.356519913,-0.06316983,-0.344519197,1.381143175,-0.013827312,-1.307188231,0.070223973,0.821120091,0.405324873,-0.657058691,0.13602417,-1.612809871,-0.13293686,0.221314411,0.632514418,-0.219339774,-0.329744705,0.113099597,-0.440694413,-0.212095363,-0.108840311,45,0
12613,0.797502681,3.840937444,-8.129343547,5.180961117,4.170040959,1.643694989,-0.287454297,1.642456454,-1.167485323,-1.344934936,2.585226775,-4.220693327,1.325096214,-5.101458154,0.227494947,2.5639682,7.413594144,4.049234306,-0.68691061,0.100035228,-0.157389078,-0.360011385,0.359804492,0.259059937,-0.819654823,0.4326421,-0.211100856,-0.166596377,1,0
81869,-1.165479373,0.666774265,0.833947343,0.977689262,0.431584691,-0.353013464,0.107246125,0.462847017,-0.432226953,-0.410811322,-1.510812191,0.259351276,0.675557964,0.243893471,0.347389241,-0.194162367,-0.095551179,0.069440564,1.012340371,0.315809943,-0.0829677,-0.356901278,-0.095290329,-0.459883248,-0.017656899,-0.424165236,0.289792302,0.045598899,31.27,0
139450,0.663604647,-1.981662773,-3.425578166,1.562590545,0.698464717,-0.30349203,1.924589293,-0.55358068,-0.630577921,0.203724291,0.456570259,0.730787732,-0.012822676,1.216643553,-0.839497959,-0.472581264,-0.583889375,0.258964573,-0.124543345,1.254687602,0.77404413,0.695713313,-0.903437945,0.311046709,0.647358094,-0.294658816,-0.198995834,0.041913871,742.45,0
137915,-1.09976383,0.694826464,-0.184780412,-0.833738752,5.249326953,2.865498846,-0.587211926,-0.385196259,-0.405898072,0.230042862,-0.212934933,-0.089103337,-0.695290935,0.282202931,-0.232940127,-0.99859913,-0.331183172,-0.725598688,-0.255136285,-0.259050115,0.684514444,-0.578355276,-3.04316013,0.823185926,0.591059008,-0.501067134,-0.251918497,-0.337418409,5,0
156764,0.155718202,0.353862779,0.951965436,-0.693588381,0.082470251,0.153636773,0.06950038,0.198202632,0.148601758,-0.464683889,0.693705864,0.971875975,0.634819422,-0.257573069,-0.629383205,0.591778638,-0.96796768,0.662567242,-0.303435138,-0.084003271,0.367984881,1.156641304,-0.105632854,0.840553356,-0.427907508,0.511240186,0.012861049,0.001316972,6.47,0
166133,-1.266846494,0.099196448,0.121181471,-0.58778641,2.009477405,-2.159724675,1.05528818,-0.543822974,-0.934888319,-0.478616674,-0.626059147,0.109547473,0.4524603,0.480423165,-0.032342035,-0.415995567,-0.330323672,-0.682312527,-0.049728823,-0.244767052,0.065852371,0.261966585,-0.754726538,0.176088867,1.182026053,0.919258273,-0.15667428,-0.166939363,30.7,0
44090,-0.670140098,1.17383674,1.350372433,-0.280346877,0.155045597,-0.398747937,0.604630673,0.087051421,-0.505616013,0.154935213,1.099178502,0.771827069,0.441855151,0.161613654,0.140547999,0.45139276,-0.79880312,0.18104274,0.396795591,0.268069719,-0.225402149,-0.530688243,-0.076031121,-0.012564011,-0.11482011,0.077866407,0.375111693,0.166087525,4.26,0
139619,-1.965021123,0.91751535,-1.693698951,-4.293956014,1.431584609,2.999026567,-1.049031305,2.293008981,1.10754555,-2.124643978,-0.567840675,0.998515124,-0.170420787,0.903966811,0.385610517,0.297313561,-0.422472747,-0.25226776,-0.701189268,-0.274839561,-0.07205636,-0.521563614,0.20483231,0.665375606,-0.361193576,-0.782213666,0.036631344,0.064970853,7.9,0
52248,-1.010159169,1.066619193,0.726639344,-1.245968025,-0.388042039,-0.728052962,0.398136338,0.35957444,-0.063442409,-0.701433358,-0.394242069,0.127907912,-0.136461428,0.333200642,0.639684308,0.318192772,-0.19758424,-0.851779909,-1.071968336,-0.186293456,0.024297783,-0.065268277,0.029441791,0.121721718,-0.288134647,0.773194552,-0.182184021,0.013381328,34.5,0
111871,-0.58194561,0.304231641,0.376425178,-1.208477172,1.372795523,-1.288392002,0.967336374,-0.176848161,-0.155913162,-0.984200404,-0.770237173,0.626570498,0.413164737,-0.001723492,-1.429753925,-0.01864324,-0.625113517,-1.101016343,-1.326799278,-0.146623014,-0.043728123,-0.223800547,0.192911069,1.102418702,-0.752077256,-0.110978247,0.101736149,0.222421111,4.89,0
